Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR_price,Country,City,Price_groub,Views Performance
Motor Yacht,Bayliner power boats,"Used boat,Unleaded",1992,7.7,2.46,Plastic,3263,15198.0,Switzerland, Le Landeron (NE),Cheap (less than 44290),Good (more than 170)
Hardtop,Princess power boats,"Used boat,Diesel",1979,11.12,3.88,GRP,2432,35700.0,Switzerland, Neuenburgersee ,Cheap (less than 44290),Good (more than 170)
Bowrider,Windy power boats,"Used boat,Diesel",2002,12.35,3.48,GRP,2261,128418.0,Switzerland, Lago Maggiore ,Expensive (more than 250000),Good (more than 170)
Hardtop,Pershing power boats,"Used boat,Diesel",2009,20.3,5.2,GRP,2154,949000.0,Other,None,Expensive (more than 250000),Good (more than 170)
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1993,6.14,2.34,Plastic,2026,20298.0,Switzerland, Murtensee ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Viper power boats,"Used boat,Unleaded",2014,6.65,2.3,GRP,1970,49470.0,Switzerland, Horn ,Medium (44290-250000),Good (more than 170)
Sport Boat,Tullio Abbate power boats,"Used boat,Unleaded",1980,6.0,2.1,GRP,1917,5098.98,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Correct Craft power boats,"Used boat,Unleaded",2005,6.4,2.31,GRP,1834,36720.0,Switzerland, Lago Maggiore ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Baha power boats,"Used boat,Unleaded",1995,6.8,2.38,GRP,1831,6630.0,Other,None,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Draco power boats,"Used boat,Unleaded",1980,6.2,2.45,GRP,1804,3876.0,Switzerland, Walensee ,Cheap (less than 44290),Good (more than 170)
Hardtop,BÃ©nÃ©teau power boats,"Used boat,Diesel",2016,13.15,3.96,GRP,1780,357000.0,Switzerland, Lake Geneva ,Expensive (more than 250000),Good (more than 170)
Sport Boat,Bavaria power boats,"new boat from stock,Unleaded",2020,9.31,2.99,GRP,1710,159359.0,Switzerland, Lake Constance ,Expensive (more than 250000),Good (more than 170)
Hardtop,BÃ©nÃ©teau power boats,"Display Model,Diesel",2019,3.35,9.95,GRP,1700,209000.0,Germany, Baden-W¼rttemberg ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,De Boarnstream power boats,"Used boat,Diesel",2006,10.7,3.65,Steel,1621,139000.0,Germany, Mosel ,Expensive (more than 250000),Good (more than 170)
Hardtop,Princess power boats,"Used boat,Diesel",2010,13.86,3.98,GRP,1461,339000.0,Croatia(Hrvatska), Kroatien ,Expensive (more than 250000),Good (more than 170)
Fishing Boat,Smartliner power boats,new boat on order,2020,6.28,2.24,GRP,1430,27336.0,Switzerland, Lake Geneva ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Stama power boats,"Used boat,Diesel",2009,12.0,3.6,Plastic,1414,121380.0,Switzerland, Murtensee ,Expensive (more than 250000),Good (more than 170)
Cabin Boat,Fairline power boats,"Used boat,Unleaded",1990,10.04,3.42,GRP,1386,56100.0,Switzerland, Altendorf SZ ,Medium (44290-250000),Good (more than 170)
Sport Boat,Viper power boats,"Used boat,Unleaded",2007,7.25,2.57,GRP,1351,37000.0,Germany, Berlin ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Windy power boats,"Used boat,Unleaded",1994,9.9,3.45,GRP,1319,96900.0,Switzerland, Solothurn ,Expensive (more than 250000),Good (more than 170)
Cabin Boat,Princess power boats,Used boat,1974,7.2,2.7,GRP,1299,5100.0,Switzerland, Rhein ,Cheap (less than 44290),Good (more than 170)
Pilothouse,Jeanneau power boats,new boat from stock,2020,6.19,2.46,GRP,1272,37625.0,Switzerland, Lake Constance ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Sunseeker power boats,"Used boat,Diesel",2004,14.76,4.2,Plastic,1230,199999.0,Croatia(Hrvatska), Split ,Expensive (more than 250000),Good (more than 170)
Sport Boat,Fiberline power boats,"Used boat,Unleaded",1987,3.95,1.55,Plastic,1201,7344.0,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
Hardtop,Galeon power boats,"Used boat,Diesel",2010,11.7,3.66,GRP,1153,220000.0,Germany, Bodensee,Expensive (more than 250000),Good (more than 170)
Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1996,8.05,2.59,Plastic,1136,28560.0,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Sunseeker power boats,"Used boat,Diesel",1989,9.37,3.3,GRP,1128,37500.0,Other, Lake Constance ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2001,20.0,5.0,Carbon Fiber,1119,65000.0,Other, Koh Chang ,Medium (44290-250000),Good (more than 170)
Wakeboard/Wakesurf,Nautique power boats,"Used boat,Unleaded",2005,6.32,2.36,GRP,1119,58038.0,Switzerland, Lake of Zurich ,Medium (44290-250000),Good (more than 170)
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1987,6.3,2.44,GRP,1116,4998.0,Switzerland, Lago Maggiore ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Fairline power boats,"Used boat,Diesel",2006,15.79,4.5,GRP,1107,300900.0,Switzerland, Lake of Zurich ,Expensive (more than 250000),Good (more than 170)
Cabin Boat,Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,1101,12000.0,Germany, Mecklenburg-Vorpommern ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Century power boats,"Used boat,Unleaded",1994,5.51,2.21,GRP,1057,11118.0,Switzerland, Bielersee ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Storebro power boats,"Used boat,Diesel",1983,9.3,3.2,GRP,1054,60180.0,Switzerland, Lake of Zurich ,Medium (44290-250000),Good (more than 170)
Cabin Boat,Rio power boats,"Used boat,Unleaded",1996,5.5,2.0,Plastic,1049,8158.98,Switzerland, 2545 Selzach,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Regal power boats,"Used boat,Unleaded",1989,8.5,2.55,GRP,1033,33660.0,Other, Altenrhein,Cheap (less than 44290),Good (more than 170)
Water ski,Correct Craft power boats,"Used boat,Unleaded",1998,5.9,2.32,GRP,1028,19890.0,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
Wakeboard/Wakesurf,Malibu power boats,"Used boat,Unleaded",2012,7.01,2.54,GRP,1019,70380.0,Switzerland, Zugersee ,Medium (44290-250000),Good (more than 170)
Sport Boat,Stingray power boats,"Used boat,Unleaded",2012,7.6,2.6,GRP,1019,46000.0,Germany, Lake Constance ,Medium (44290-250000),Good (more than 170)
Wakeboard/Wakesurf,Malibu power boats,"Used boat,Unleaded",2005,6.85,2.46,GRP,1017,51000.0,Other,None,Medium (44290-250000),Good (more than 170)
Cabin Boat,Quicksilver power boats,"Used boat,Diesel",2015,9.02,2.98,GRP,1014,89900.0,Other,None,Medium (44290-250000),Good (more than 170)
Mega Yacht,Majesty Yachts power boats,"new boat from stock,Diesel",2020,54.4,9.6,GRP,1009,31000000.0,Other, Dubai & VAE,Expensive (more than 250000),Good (more than 170)
Sport Boat,Fletcher power boats,"Used boat,Unleaded",1975,4.38,1.7,GRP,997,5355.0,Switzerland, Murtensee ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Bavaria power boats,"Used boat,Diesel",2006,13.4,4.28,Plastic,991,100000.0,Other, Burgas,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Rio power boats,"Used boat,Unleaded",2000,6.4,2.34,GRP,990,18360.0,Switzerland, K¼ssnacht am Rigi,Cheap (less than 44290),Good (more than 170)
Mega Yacht,Rodriguez Group (Italyachts) power boats,"Used boat,Diesel",2010,41.1,8.4,Aluminium,986,5900000.0,France, South France-Contact SCHMIDT YACHTING,Expensive (more than 250000),Good (more than 170)
Hardtop,Bella power boats,"Used boat,Diesel",2002,6.3,2.25,Plastic,973,30090.0,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
Flybridge,Princess power boats,"Used boat,Diesel",1996,14.95,4.3,GRP,961,107250.0,Denmark, Mittelj¼tland ,Expensive (more than 250000),Good (more than 170)
Classic,Frauscher power boats,"Used boat,Unleaded",2007,6.06,2.2,GRP,920,60180.0,Switzerland, Lago Maggiore ,Medium (44290-250000),Good (more than 170)
Classic,Boesch power boats,"Used boat,Unleaded",1984,5.9,2.12,Wood,917,80580.0,Switzerland, Lake Geneva ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2006,9.3,2.98,GRP,917,59160.0,Other,None,Medium (44290-250000),Good (more than 170)
Sport Boat,Colombo power boats,"Used boat,Unleaded",2004,6.94,2.27,GRP,915,38760.0,Switzerland, Vierwaldst¤ttersee ,Cheap (less than 44290),Good (more than 170)
Classic,Sunseeker power boats,"Used boat,Diesel",2014,15.85,4.7,GRP,912,969000.0,Switzerland, Lago Maggiore ,Expensive (more than 250000),Good (more than 170)
Wakeboard/Wakesurf,Malibu power boats,"Used boat,Unleaded",2019,7.5,2.59,GRP,908,132396.0,Switzerland, Lake Geneva ,Expensive (more than 250000),Good (more than 170)
Cabin Boat,Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,900,10000.0,Germany, Brandenburg ,Cheap (less than 44290),Good (more than 170)
Wakeboard/Wakesurf,Axis power boats,"Used boat,Unleaded",2020,7.16,2.59,GRP,899,107100.0,Switzerland, Lake of Zurich ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Windy power boats,"Used boat,Unleaded",1992,8.6,2.8,GRP,896,26418.0,Switzerland, Rhein ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Striker power boats,"Used boat,Diesel",1972,11.31,3.6,Aluminium,892,58000.0,Germany, Rhein ,Medium (44290-250000),Good (more than 170)
Fishing Boat,The Captains power boats,new boat on order,2020,6.6,1.85,GRP,888,25500.0,Switzerland, Lake Constance ,Cheap (less than 44290),Good (more than 170)
Bowrider,Bluewater Yachts power boats,"Used boat,Unleaded",1995,6.14,2.47,GRP,888,15249.0,Switzerland, Zug,Cheap (less than 44290),Good (more than 170)
Sport Boat,ATOMIX power boats,"Used boat,Unleaded",2012,8.2,2.36,GRP,885,36618.0,Switzerland, Rhein ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Doral power boats,"Used boat,Unleaded",1995,7.01,2.59,GRP,885,34578.0,Switzerland, Lake Constance ,Cheap (less than 44290),Good (more than 170)
Wakeboard/Wakesurf,MasterCraft power boats,Used boat,2009,6.6,2.54,GRP,883,49980.0,Switzerland, Lake of Zurich ,Medium (44290-250000),Good (more than 170)
Bowrider,Moomba power boats,"Used boat,Unleaded",2011,6.25,2.41,GRP,879,35649.0,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Riva power boats,"Used boat,Unleaded",1967,5.7,2.2,Wood,875,79560.0,Switzerland, Lake Geneva ,Medium (44290-250000),Good (more than 170)
Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,873,9450.3,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Sessa power boats,"Used boat,Diesel",2010,10.0,3.0,Plastic,870,80000.0,Other, Prague,Medium (44290-250000),Good (more than 170)
Sport Boat,Chaparral power boats,"Used boat,Unleaded",1998,7.5,2.59,GRP,870,39270.0,Switzerland, Bielersee ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Sunseeker power boats,"Used boat,Diesel",2004,14.76,4.2,GRP,869,220000.0,France, C´te d'Azur ,Expensive (more than 250000),Good (more than 170)
Flybridge,Jeanneau power boats,"Used boat,Diesel",2016,19.5,5.1,GRP,869,1020000.0,Croatia(Hrvatska), Croatia Seget ,Expensive (more than 250000),Good (more than 170)
Classic,van de Werf power boats,"Used boat,Diesel",1901,11.0,3.0,Steel,868,89000.0,Germany, Rheinland-Pfalz ,Medium (44290-250000),Good (more than 170)
Cabin Boat,Galeon power boats,"Used boat,Unleaded",2015,6.19,2.48,GRP,867,24990.0,Switzerland, Neuenburgersee ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Fjord power boats,"Used boat,Unleaded",1980,7.26,2.9,GRP,866,7140.0,Switzerland, Lake Geneva ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Scand power boats,"Used boat,Diesel",1989,7.8,2.85,GRP,866,18360.0,Switzerland, Lago Maggiore ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.0,2.43,GRP,863,23460.0,Switzerland, Lake Geneva ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Regal power boats,"Used boat,Unleaded",2016,6.75,2.5,GRP,860,65076.0,Switzerland, Bielersee ,Medium (44290-250000),Good (more than 170)
Bowrider,Glastron power boats,"new boat from stock,Unleaded",2019,5.95,2.3,GRP,859,45553.0,Switzerland, Lake Constance ,Medium (44290-250000),Good (more than 170)
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2006,6.96,2.55,GRP,851,29900.0,Other,None,Cheap (less than 44290),Good (more than 170)
Fishing Boat,Hensa  power boats,"Used boat,Unleaded",1974,5.4,1.67,Plastic,849,3876.0,Switzerland, Sihlsee ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Nimbus power boats,"Used boat,Diesel",1996,10.0,3.3,Plastic,832,86000.0,Germany, Brandenburg ,Medium (44290-250000),Good (more than 170)
Cabin Boat,Cranchi power boats,"Used boat,Unleaded",1988,9.75,2.84,GRP,829,16320.0,Other,None,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Malibu power boats,"Used boat,Unleaded",2017,7.01,2.59,GRP,826,96900.0,Switzerland, Neuenburgersee ,Expensive (more than 250000),Good (more than 170)
Sport Boat,Four Winns power boats,"Used boat,Unleaded",1995,7.0,2.4,GRP,826,12500.0,Netherlands, Seeland ,Cheap (less than 44290),Good (more than 170)
Trawler,Bayliner power boats,"Used boat,Unleaded",2009,6.7,2.44,GRP,811,29999.0,Other,None,Cheap (less than 44290),Good (more than 170)
Offshore Boat,Tullio Abbate power boats,"Used boat,Unleaded",1985,10.8,2.6,GRP,810,50898.0,Switzerland, Zugersee ,Medium (44290-250000),Good (more than 170)
House Boat,Linssen power boats,"Used boat,Diesel",1998,10.1,3.45,Steel,806,182580.0,Switzerland, Neuenburgersee ,Expensive (more than 250000),Good (more than 170)
Sport Boat,Tony Giugliano power boats,"Used boat,Unleaded",2011,8.25,2.56,GRP,801,95000.0,Germany, Bayern ,Medium (44290-250000),Good (more than 170)
Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2011,8.0,2.5,Plastic,799,36720.0,Switzerland, Neuenburgersee ,Cheap (less than 44290),Good (more than 170)
Offshore Boat,Baja power boats,"Used boat,Unleaded",1996,9.1,2.5,GRP,799,34884.0,Switzerland, Vierwaldst¤ttersee ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Windy power boats,"Used boat,Unleaded",1988,8.0,2.8,Plastic,792,12750.0,Other, Lausanne,Cheap (less than 44290),Good (more than 170)
Classic,Pegiva power boats,"Used boat,Diesel",2007,7.7,2.32,GRP,790,87720.0,Switzerland, Lake of Zurich ,Medium (44290-250000),Good (more than 170)
Sport Boat,Bryant Boats power boats,"new boat from stock,Unleaded",2019,7.0,2.5,GRP,785,128418.0,Switzerland, Uznach ,Expensive (more than 250000),Good (more than 170)
Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,783,10000.0,Italy, Lombardia - Trentino Alto Adige ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Ockelbo power boats,"Used boat,Unleaded",1963,5.6,2.1,GRP,781,8160.0,Switzerland, Walensee ,Cheap (less than 44290),Good (more than 170)
Wakeboard/Wakesurf,Nautique power boats,"Used boat,Unleaded",2017,7.7,2.59,GRP,780,138720.0,Switzerland, Schmerikon,Expensive (more than 250000),Good (more than 170)
Cabin Boat,Sea Ray power boats,Used boat,1996,8.95,2.59,GRP,778,19500.0,Other,None,Cheap (less than 44290),Good (more than 170)
Center console boat,Quicksilver power boats,"Used boat,Unleaded",2013,5.75,2.34,Plastic,773,29580.0,Switzerland, Lake Geneva ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Windy power boats,"Used boat,Unleaded",1997,7.85,2.54,GRP,771,25500.0,Switzerland, Altendorf,Cheap (less than 44290),Good (more than 170)
Pilothouse,Draco power boats,"Used boat,Unleaded",1992,6.77,2.28,GRP,760,14790.0,Switzerland, Luganersee ,Cheap (less than 44290),Good (more than 170)
Flybridge,Fairline power boats,"Used boat,Diesel",1994,9.9,3.5,GRP,746,25000.0,Italy, Sardegna ,Cheap (less than 44290),Good (more than 170)
Classic,Meier power boats,"Used boat,Unleaded",1958,4.6,1.84,Plastic,746,11730.0,Other, Andelfingen,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2015,9.31,2.99,GRP,744,65000.0,Spain, Mallorca ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Bayliner power boats,"Used boat,Diesel",1993,14.85,4.38,GRP,744,198900.0,Switzerland, Lake of Zurich ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Azimut power boats,"Used boat,Diesel",1991,30.0,6.2,GRP,743,900000.0,France, C´te d'Azur ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Riva power boats,"Used boat,Diesel",2016,19.65,4.8,GRP,742,1499000.0,Spain, Mallorca ,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2011,10.85,3.73,GRP,742,151980.0,Switzerland, Lake of Zurich ,Expensive (more than 250000),Good (more than 170)
Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2015,6.93,2.59,GRP,728,90780.0,Other, Geneva,Medium (44290-250000),Good (more than 170)
Cabin Boat,Windy power boats,"Used boat,Unleaded",1985,7.45,2.72,GRP,713,14280.0,Switzerland, Neuenburgersee ,Cheap (less than 44290),Good (more than 170)
Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2012,6.1,2.59,GRP,712,65076.0,Switzerland, Lake of Zurich ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Glastron power boats,"Used boat,Unleaded",2016,7.67,2.55,GRP,711,97410.0,Switzerland, Lake Constance ,Expensive (more than 250000),Good (more than 170)
Bowrider,Larson power boats,"Used boat,Unleaded",1998,6.07,2.47,GRP,709,19380.0,Switzerland, Lake Geneva ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Rinker power boats,"Used boat,Unleaded",2008,7.47,2.59,GRP,708,57630.0,Switzerland, Lake Geneva ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Sunseeker power boats,Used boat,1990,9.42,3.3,GRP,706,35700.0,Switzerland, Ermatingen,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Bayliner power boats,"Used boat,Diesel",1999,10.2,3.41,GRP,704,43000.0,Croatia(Hrvatska), Porec,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,6.25,2.29,GRP,700,9900.0,Other, Santar©m ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Princess power boats,"Used boat,Diesel",2018,26.9,6.3,GRP,695,5674500.0,Italy, Sardinien,Expensive (more than 250000),Good (more than 170)
Wakeboard/Wakesurf,Malibu power boats,"Used boat,Unleaded",2007,7.49,2.59,GRP,691,60180.0,Switzerland, Lake of Zurich ,Medium (44290-250000),Good (more than 170)
Wakeboard/Wakesurf,Pavati power boats,"Display Model,Unleaded",2019,7.52,2.56,Aluminium,690,290700.0,Switzerland, Lake Geneva ,Expensive (more than 250000),Good (more than 170)
Sport Boat,Sunbird power boats,"Used boat,Unleaded",1990,6.5,2.45,Plastic,686,19278.0,Switzerland, Lake Constance ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Scarani power boats,"Used boat,Unleaded",2015,6.9,2.42,GRP,686,44880.0,Switzerland, Lake Constance ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1993,12.8,4.0,GRP,685,65000.0,Other, Kroatien,Medium (44290-250000),Good (more than 170)
Cabin Boat,Bella power boats,"Used boat,Unleaded",2004,5.62,2.08,GRP,684,26418.0,Switzerland, Thunersee ,Cheap (less than 44290),Good (more than 170)
Classic,Glastron power boats,"Used boat,Unleaded",1976,7.0,2.2,GRP,683,7400.0,Other,None,Cheap (less than 44290),Good (more than 170)
Sport Boat,Regal power boats,"Used boat,Unleaded",1996,6.06,2.5,GRP,682,15198.0,Switzerland, 3421 Lyssach,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1996,7.0,2.43,GRP,678,30396.0,Switzerland, Neuenburgersee ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Crownline power boats,"Used boat,Unleaded",1995,8.13,2.5,GRP,677,30000.0,Germany, Lake Constance ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Diano power boats,Used boat,2003,23.9,6.1,Wood,677,60000.0,Italy, Genova,Medium (44290-250000),Good (more than 170)
Sport Boat,Cobalt power boats,"Used boat,Unleaded",2007,8.13,2.59,GRP,672,63240.0,Switzerland, Lake Constance ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Larson power boats,"Used boat,Unleaded",2013,8.57,2.68,GRP,665,70380.0,Switzerland, CH,Medium (44290-250000),Good (more than 170)
Deck Boat,SACS power boats,"Used boat,Diesel",2005,7.8,3.0,GRP,665,40000.0,Other, Prague,Cheap (less than 44290),Good (more than 170)
Sport Boat,Performance power boats,"Used boat,Unleaded",1991,7.14,2.53,GRP,665,20400.0,Other,None,Cheap (less than 44290),Good (more than 170)
Sport Boat,Windy power boats,"Used boat,Diesel",2001,8.4,2.65,GRP,662,125460.0,Switzerland, Lake Constance ,Expensive (more than 250000),Good (more than 170)
Flybridge,Princess power boats,"Used boat,Unleaded",1990,9.39,3.4,GRP,660,63240.0,Switzerland, Vierwaldst¤ttersee ,Medium (44290-250000),Good (more than 170)
Cabin Boat,Tullio Abbate power boats,"Used boat,Unleaded",1991,7.5,2.28,GRP,655,23460.0,Switzerland, Lake Geneva ,Cheap (less than 44290),Good (more than 170)
Deck Boat,Salmeri Boote power boats,"Used boat,Unleaded",2015,5.53,2.18,GRP,655,20298.0,Other,None,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Galaxy power boats,"Used boat,Unleaded",1990,8.1,2.45,GRP,654,29478.0,Switzerland, Lake Constance ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Crownline power boats,"Used boat,Unleaded",2010,7.5,2.59,Plastic,652,62800.0,Other,None,Medium (44290-250000),Good (more than 170)
Cabin Boat,Aquanaut power boats,"Used boat,Diesel",1984,9.0,3.28,Steel,651,30485.76,Switzerland, Vierwaldst¤ttersee ,Cheap (less than 44290),Good (more than 170)
Offshore Boat,Chaparral power boats,"Used boat,Unleaded",1990,10.0,2.5,GRP,651,19999.0,Spain, Costa del Sol ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Windy power boats,"Used boat,Diesel",2003,12.26,3.41,GRP,646,193800.0,Other, Thal / St.Gallen,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Formula power boats,"Used boat,Unleaded",1990,8.15,2.7,GRP,642,27000.0,Switzerland, Lake Constance ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Polaris power boats,"Used boat,Unleaded",1978,7.7,2.66,GRP,640,12350.0,Netherlands, Limburg ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,VZ Cantiere Nautico power boats,"Used boat,Diesel",1981,15.5,4.7,Wood,636,40000.0,Italy, Veneto ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Fjord power boats,"Used boat,Unleaded",1976,6.54,2.5,Plastic,635,9690.0,Switzerland, Bielersee ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Colombo power boats,"Used boat,Diesel",1989,12.4,3.15,GRP,633,84660.0,Switzerland, Lake Constance ,Medium (44290-250000),Good (more than 170)
Motor Yacht,Bavaria power boats,"Used boat,Diesel",0,11.5,3.8,GRP,632,78000.0,Italy, Toscana ,Medium (44290-250000),Good (more than 170)
Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2010,7.87,2.9,GRP,631,69360.0,Switzerland, Vierwaldst¤ttersee ,Medium (44290-250000),Good (more than 170)
Cabin Boat,Schwarz power boats,"Used boat,Diesel",1973,10.3,3.35,GRP,631,21000.0,Germany, Nordrhein-Westfalen ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Cranchi power boats,Used boat,2012,7.51,2.83,GRP,630,35700.0,Switzerland, Lake Geneva ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Scand power boats,"Used boat,Unleaded",1986,7.8,2.59,GRP,628,20298.0,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Chris Craft power boats,"Used boat,Unleaded",1995,6.35,2.35,Plastic,628,13770.0,Switzerland, Bielersee ,Cheap (less than 44290),Good (more than 170)
Motor Yacht,Fjord power boats,"Used boat,Diesel",1973,6.45,2.37,Plastic,628,8160.0,Other, Founex,Cheap (less than 44290),Good (more than 170)
Sport Boat,Nidelv power boats,"Used boat,Unleaded",2005,6.26,2.3,GRP,622,29800.0,Germany, Hamburg ,Cheap (less than 44290),Good (more than 170)
Hardtop,Sealine power boats,"Used boat,Diesel",2019,10.31,3.5,GRP,622,336090.0,Switzerland, Vierwaldst¤ttersee ,Expensive (more than 250000),Good (more than 170)
Sport Boat,Fjord power boats,"Used boat,Unleaded",1980,6.5,2.5,GRP,622,15300.0,Switzerland, Vierwaldst¤ttersee ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Regal power boats,"Used boat,Unleaded",2013,6.7,2.5,GRP,621,43000.0,Other, Gent ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1991,7.19,2.44,GRP,621,14800.0,Germany, Berlin ,Cheap (less than 44290),Good (more than 170)
Sport Boat,Ilver power boats,"Used boat,Unleaded",2000,9.0,2.93,GRP,620,42840.0,Switzerland, Lago Maggiore ,Cheap (less than 44290),Good (more than 170)
Bowrider,Frauscher power boats,"new boat from stock,Unleaded",2019,8.67,2.49,GRP,620,228975.0,Switzerland, Lake Constance ,Expensive (more than 250000),Good (more than 170)
Cabin Boat,Hardy Marine power boats,"Used boat,Unleaded",1992,6.2,2.4,GRP,620,9282.0,Other,8560,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Century power boats,"Used boat,Unleaded",1989,7.67,2.43,GRP,619,27030.0,Switzerland, Murtensee ,Cheap (less than 44290),Good (more than 170)
Cabin Boat,Selco power boats,"Used boat,Unleaded",1969,7.43,2.5,GRP,619,9690.0,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
Bowrider,MasterCraft power boats,"Used boat,Unleaded",2005,8.61,2.9,GRP,617,73440.0,Switzerland, Lake of Zurich ,Medium (44290-250000),Good (more than 170)
Sport Boat,Drago Boats power boats,"new boat from stock,Unleaded",0,6.6,2.28,GRP,613,35921.0,Germany, CUXHAVEN,Cheap (less than 44290),Good (more than 170)
Sport Boat,Webbcraft power boats,"Used boat,Unleaded",1979,6.07,2.4,GRP,613,8670.0,Switzerland, Bielersee ,Cheap (less than 44290),Good (more than 170)
Mega Yacht,Sunseeker power boats,"Used boat,Diesel",2001,21.81,5.2,GRP,612,339000.0,Italy, Adria,Expensive (more than 250000),Good (more than 170)
Motor Yacht,Cranchi power boats,"Used boat,Unleaded",1994,9.55,3.32,GRP,612,40698.0,Switzerland, Lake of Zurich ,Cheap (less than 44290),Good (more than 170)
